Number,TAQI,Compare
1,50.9523507004,29
2,36.3720532931,63
3,21.6232511582,44
4,41.3511341969,45
5,44.2075131046,29
6,45.0971149172,34
7,41.1904298428,52
8,41.9474056137,43
9,48.5680074104,30
10,49.285689926,46
11,39.06949373,35
12,48.9334603421,34
13,40.6151520503,58
14,41.690369773,50
15,50.9861594454,64
16,49.2908984218,58
17,55.4914878149,71
18,54.3182606324,73
19,59.1880770521,51
20,59.2480245221,43
21,42.8256885784,43
22,47.3366428852,59
23,48.3143990991,31
24,55.2490602654,47
25,40.8097927297,40
26,43.0725602436,54
27,42.1819808233,51
28,47.0111143684,67
29,47.2102444442,36
30,59.0237323463,42
31,45.5163132758,40
32,44.6573548474,58
33,49.6450573914,25
34,53.3024090507,40
35,38.747968988,36
36,43.0411600208,63
37,43.3013586866,35
38,57.5690818011,37
39,41.5669776421,26
40,40.8337826647,37
41,38.9336775863,41
42,40.8076351975,41
43,46.4687184942,58
44,45.8783163075,46
45,54.00369759,57
46,44.9009682592,31
47,53.4116596688,25
48,43.8870591899,36
49,41.2718576539,39
50,40.6154283793,38
51,42.9939554552,48
52,46.6336590114,44
53,47.055027202,54
54,47.3919054846,68
55,53.9981125145,56
56,54.5762803178,71
57,52.4962773394,67
58,54.6541458264,45
59,55.1919675343,71
60,46.986505687,41
61,53.9420080853,36
62,46.3825205912,52
63,42.6846487193,44
64,48.4689588668,48
65,42.5832478232,61
66,47.3268306455,74
67,53.1234264254,74
68,56.2388035941,84
69,52.0058673628,50
70,55.2155340813,46
71,49.971023274,34
72,49.6048336077,34
73,44.608705102,47
74,45.5575064114,52
75,45.6351183107,52
76,48.6670825063,39
77,52.5862044727,41
78,45.6435571418,50
79,46.148682635,74
80,46.6896077936,41
81,53.5693559421,61
82,45.8433480721,74
83,48.7863258048,61
84,50.734689419,49
85,49.698721743,24
86,49.9404089743,35
87,40.1964530333,40
88,45.4503702979,39
89,47.5836074431,83
90,45.2806911325,59
91,63.1472672079,63
92,51.4439153132,44
93,56.9008763901,45
94,48.4464006889,60
95,50.8576486333,58
96,58.1293022038,53
97,57.1420566524,35
98,53.4453788584,40
